from,to,count
0,12,1
0,5,10
0,8,4
0,11,1
0,10,1
0,3,1
0,14,1
0,7,1
2,0,1
3,5,1
3,3748,1
3,8,1
4,4003,1
5,5,1
5,8,2
5,0,2
5,14,1
5,7,1
7,14,3
7,0,1
7,5,1
7,8,1
7,3163,1
8,0,3
8,5,5
8,7,2
8,10,1
8,14,1
10,8,2
10,0,1
11,0,1
12,0,1
13,0,1
14,7,2
14,5,2
14,0,1
14,8,1
18,0,1
18,5,1
18,8,1
18,7,1
28,2325,1
29,7,1
171,6251,1
183,6410,1
186,6477,1
186,6469,1
202,6561,1
202,6443,1
202,6445,1
202,6461,1
202,6410,1
202,6502,1
209,6224,1
212,5371,1
212,5372,1
213,4757,1
214,5918,1
216,7562,1
216,7538,1
216,7537,1
216,7555,1
216,7561,1
216,4886,1
216,7482,1
217,6259,1
218,5152,1
314,3870,1
382,4003,2
415,2601,1
415,4003,1
419,2643,1
420,2684,1
420,2880,1
420,2988,1
420,2882,1
420,2978,1
420,2848,1
420,3280,1
420,3171,1
420,2905,1
420,2922,1
420,2911,1
420,2913,1
497,4138,1
513,4122,1
520,3887,1
520,3865,1
520,3875,1
520,3873,1
520,3881,1
520,3869,1
520,3862,1
520,3883,1
520,3860,1
520,3861,1
527,3860,1
527,3861,1
528,3861,1
528,3860,1
532,3707,1
533,3887,1
533,3865,1
533,3875,1
533,3873,1
533,3881,1
533,3869,1
533,3862,1
533,3883,1
533,3860,1
533,3861,1
536,3887,1
536,3865,1
536,3875,1
536,3873,1
536,3881,1
536,3869,1
536,3862,1
536,3883,1
536,3860,1
536,3861,1
537,3883,1
548,3213,1
658,3864,1
818,4001,1
818,4003,1
838,2808,1
886,4003,1
888,4003,1
909,4138,1
925,3707,1
925,3708,1
929,2684,1
929,2880,1
929,2988,1
929,2882,1
929,2978,1
929,2848,1
929,3280,1
929,3171,1
929,2905,1
929,2922,1
929,2911,1
929,2913,1
943,6561,1
943,6443,1
943,6445,1
943,6461,1
943,6410,1
943,6502,1
945,4003,1
946,952,1
946,1167,1
946,1168,1
946,1325,1
946,951,1
946,949,1
946,950,1
946,948,1
946,4003,1
959,3611,1
961,6410,1
970,6410,1
980,6410,1
986,6410,1
996,6447,1
1002,6447,1
1012,7659,1
1028,6251,1
1030,6232,1
1030,6243,1
1030,6481,1
1030,6251,1
1030,6235,1
1039,6410,1
1049,6410,1
1056,6410,1
1060,3913,1
1060,3898,1
1064,6410,1
1066,3918,1
1066,3352,1
1067,6410,1
1101,6410,1
1139,4138,1
1155,4122,1
1162,3887,1
1162,3865,1
1162,3875,1
1162,3873,1
1162,3881,1
1162,3869,1
1162,3862,1
1162,3883,1
1162,3860,1
1162,3861,1
1169,3860,1
1169,3861,1
1170,3861,1
1170,3860,1
1174,3707,1
1175,3887,1
1175,3865,1
1175,3875,1
1175,3873,1
1175,3881,1
1175,3869,1
1175,3862,1
1175,3883,1
1175,3860,1
1175,3861,1
1178,3887,1
1178,3865,1
1178,3875,1
1178,3873,1
1178,3881,1
1178,3869,1
1178,3862,1
1178,3883,1
1178,3860,1
1178,3861,1
1179,3883,1
1266,4122,1
1281,4075,1
1291,3860,1
1291,3861,1
1292,3861,1
1292,3860,1
1296,3707,1
1297,3887,1
1297,3865,1
1297,3875,1
1297,3873,1
1297,3881,1
1297,3869,1
1297,3862,1
1297,3883,1
1297,3860,1
1297,3861,1
1300,3887,1
1300,3865,1
1300,3875,1
1300,3873,1
1300,3881,1
1300,3869,1
1300,3862,1
1300,3883,1
1300,3860,1
1300,3861,1
1301,3883,1
1309,3688,1
1309,3712,1
1309,3714,1
1309,3735,1
1309,3740,1
1309,3755,1
1309,3744,2
1309,3745,1
1309,3729,1
1309,3749,1
1309,3725,1
1309,3742,1
1309,3723,1
1309,3748,1
1309,3731,1
1309,3713,1
1309,3736,1
1309,3715,1
1309,3730,1
1315,3864,1
1328,3922,1
1328,3840,1
1328,3813,1
1328,3816,1
1336,3611,1
1353,3860,1
1353,3861,1
1354,3861,1
1354,3860,1
1358,3707,1
1359,3887,1
1359,3865,1
1359,3875,1
1359,3873,1
1359,3881,1
1359,3869,1
1359,3862,1
1359,3883,1
1359,3860,1
1359,3861,1
1362,3887,1
1362,3865,1
1362,3875,1
1362,3873,1
1362,3881,1
1362,3869,1
1362,3862,1
1362,3883,1
1362,3860,1
1362,3861,1
1363,3883,1
1377,2241,1
1377,2247,1
1377,2265,1
1377,2140,1
1377,2346,1
1377,2030,1
1398,1499,1
1435,3213,1
1498,1499,1
1502,3213,1
1788,2543,1
1788,2544,1
1866,3044,1
1876,2252,1
1934,3505,1
1938,3467,1
1966,4003,1
1978,2543,1
1978,2544,1
1993,4003,1
1994,2808,1
2000,3129,2
2000,2638,3
2000,3167,2
2000,2001,4
2000,2585,1
2000,2004,6
2000,3249,2
2000,3246,2
2000,2002,1
2000,2074,1
2000,2037,1
2000,2637,1
2000,2016,1
2000,2015,1
2000,2107,1
2000,2627,1
2000,3161,1
2000,3160,1
2000,3235,1
2001,2000,5
2001,2585,1
2001,2004,1
2001,2013,2
2001,2014,1
2001,4003,3
2001,2010,2
2001,2018,2
2001,2074,3
2001,3862,1
2001,2635,1
2001,3873,1
2001,2179,1
2001,2178,1
2001,2412,1
2001,2252,2
2001,2503,1
2001,2438,1
2001,2274,2
2001,2148,1
2001,2147,1
2001,2130,2
2001,2480,2
2001,2138,2
2001,2449,1
2001,2268,2
2001,2294,1
2001,2202,1
2001,2140,2
2001,2150,2
2001,2431,2
2001,2206,1
2001,2222,1
2001,2228,1
2001,2236,1
2001,2246,2
2001,2256,1
2001,2272,1
2001,2284,1
2001,2299,1
2001,2310,1
2001,2306,1
2001,2189,1
2001,2307,1
2001,2441,1
2001,2231,1
2001,2263,1
2001,2276,1
2001,2117,1
2001,2122,1
2001,2125,1
2001,2134,1
2001,2160,1
2001,2171,1
2001,2174,1
2001,2182,1
2001,2184,1
2001,2209,1
2001,2215,1
2001,2220,1
2001,2495,1
2001,2270,1
2001,2295,1
2001,2280,1
2001,2282,1
2001,2289,1
2001,2302,1
2001,2123,1
2001,2057,1
2001,2131,1
2001,2133,1
2001,2162,1
2001,2172,1
2001,2216,1
2001,2234,1
2001,2283,1
2001,2166,1
2001,2237,1
2001,2271,1
2001,2292,1
2001,2498,1
2001,2127,2
2001,2146,1
2001,2164,1
2001,2186,1
2001,2242,2
2001,2260,2
2001,2492,1
2001,2120,1
2001,2136,1
2001,2152,1
2001,2159,1
2001,2213,1
2001,2168,1
2001,2188,1
2001,2273,1
2001,2177,1
2001,2218,1
2001,2221,1
2001,2238,1
2001,2239,1
2001,2240,1
2001,2241,2
2001,2243,1
2001,2244,1
2001,2247,2
2001,2253,1
2001,2257,1
2001,2265,2
2001,2269,1
2001,2291,1
2001,2580,1
2001,2308,1
2001,2550,1
2001,2129,1
2001,2157,1
2001,2163,1
2001,2170,1
2001,2227,1
2001,2141,1
2001,2205,1
